PID,GrLivArea,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscVal,MoSold,YrSold,SaleType,SaleCondition
909176150,856,126000,30,RL,,7890,Pave,none,Reg,Lvl,AllPub,Corner,Gtl,SWISU,Norm,Norm,1Fam,1Story,6,6,1939,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,,TA,TA,CBlock,TA,TA,No,Rec,,Unf,,,,GasA,TA,Y,SBrkr,856,0,0,,,1,0,2,1,TA,4,Typ,1,Gd,Detchd,1939.0,Unf,,,TA,TA,Y,0,0,0,0,166,0,none,none,0,3,2010,WD ,Normal
905476230,1049,139500,120,RL,,4235,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,1Story,5,5,1984,1984,Gable,CompShg,HdBoard,HdBoard,BrkFace,,Gd,TA,CBlock,Gd,TA,Mn,GLQ,,ALQ,,,,GasA,TA,Y,SBrkr,1049,0,0,,,2,0,2,1,Gd,5,Typ,0,none,Attchd,1984.0,Fin,,,TA,TA,Y,0,105,0,0,0,0,none,none,0,2,2009,WD ,Normal
911128020,1001,124900,30,C (all),,6060,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,5,9,1930,2007,Hip,CompShg,MetalSd,MetalSd,None,,Gd,TA,BrkTil,TA,TA,No,ALQ,,Unf,,,,GasA,Ex,Y,SBrkr,1001,0,0,,,1,0,2,1,Gd,5,Typ,0,none,Detchd,1930.0,Unf,,,TA,Po,N,154,0,42,86,0,0,none,none,0,11,2007,WD ,Normal
535377150,1039,114000,70,RL,,8146,Pave,none,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,4,8,1900,2003,Gable,CompShg,MetalSd,MetalSd,None,,Gd,Gd,BrkTil,Fa,TA,No,Unf,,Unf,,,,GasA,Gd,Y,SBrkr,717,322,0,,,1,0,2,1,TA,6,Typ,0,none,Detchd,1940.0,Unf,,,TA,TA,N,0,0,168,0,111,0,none,none,0,5,2009,WD ,Normal
534177230,1665,227000,60,RL,,8400,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,8,6,2001,2001,Gable,CompShg,VinylSd,VinylSd,None,,Gd,TA,PConc,Gd,TA,No,GLQ,,Unf,,,,GasA,Ex,Y,SBrkr,810,855,0,,,2,1,3,1,Gd,6,Typ,0,none,Attchd,2001.0,Fin,,,TA,TA,Y,0,45,0,0,0,0,none,none,0,11,2009,WD ,Normal
908128060,1922,198500,85,RL,,7301,Pave,none,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,SFoyer,7,5,2003,2003,Gable,CompShg,HdBoard,HdBoard,BrkFace,,Gd,TA,Slab,none,none,none,none,,none,,,,GasA,Ex,Y,SBrkr,495,1427,0,,,3,0,4,1,Gd,7,Typ,1,Ex,BuiltIn,2003.0,RFn,,,TA,TA,Y,0,0,177,0,0,0,none,none,0,7,2009,ConLD,Normal
902135020,936,93000,20,RM,,6000,Pave,Pave,Reg,Bnk,AllPub,Inside,Mod,OldTown,Norm,Norm,2fmCon,1Story,4,4,1953,1953,Gable,CompShg,MetalSd,MetalSd,None,,Fa,TA,CBlock,Fa,TA,No,Unf,,Unf,,,,GasA,TA,N,SBrkr,936,0,0,,,1,0,2,1,TA,4,Min2,0,none,Detchd,1974.0,Unf,,,TA,TA,Y,0,32,112,0,0,0,none,none,0,2,2009,WD ,Normal
528228540,1246,187687,20,RL,,3710,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,1Fam,1Story,7,5,2007,2008,Gable,CompShg,WdShing,Wd Shng,BrkFace,,Gd,TA,PConc,Gd,TA,Gd,Unf,,Unf,,,,GasA,Ex,Y,SBrkr,1246,0,0,,,2,0,2,1,Gd,5,Typ,1,Gd,Attchd,2007.0,Fin,,,TA,TA,Y,100,24,0,0,0,0,none,none,0,3,2008,New,Partial
923426010,889,137500,20,RL,,12395,Pave,none,Reg,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,6,1984,1984,Gable,CompShg,HdBoard,Plywood,None,,TA,TA,CBlock,TA,TA,No,ALQ,,Unf,,,,GasA,TA,Y,SBrkr,889,0,0,,,1,0,3,1,TA,6,Typ,0,none,Attchd,1984.0,Unf,,,TA,TA,Y,0,0,0,0,0,0,none,none,0,4,2008,WD ,Normal
908186050,1072,140000,180,RM,,3675,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,Stone,,TA,TA,PConc,Gd,TA,Gd,GLQ,,Unf,,,,GasA,Ex,Y,SBrkr,1072,0,0,,,1,0,2,1,Gd,5,Typ,0,none,Basment,2005.0,Fin,,,TA,TA,Y,0,44,0,0,0,0,none,none,0,5,2007,WD ,Normal
528186170,1342,219500,120,RL,,6240,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2007,Hip,CompShg,MetalSd,MetalSd,BrkFace,,Gd,TA,PConc,Gd,TA,No,GLQ,,Unf,,,,GasA,Ex,Y,SBrkr,1342,0,0,,,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,2007.0,RFn,,,TA,TA,Y,0,35,0,0,0,0,none,none,0,2,2008,WD ,Normal
923426070,1274,136000,60,RL,,10475,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,2Story,5,5,1991,1991,Gable,CompShg,HdBoard,HdBoard,None,,TA,TA,PConc,Gd,TA,No,Rec,,Unf,,,,GasA,Gd,Y,SBrkr,624,650,0,,,1,1,3,1,TA,6,Typ,0,none,Detchd,1993.0,Unf,,,TA,TA,Y,22,0,0,0,0,0,none,GdWo,0,3,2010,WD ,Normal
902204080,861,80000,30,RM,,7404,Pave,none,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1Story,4,6,1920,1950,Gable,CompShg,MetalSd,MetalSd,None,,TA,TA,BrkTil,Fa,TA,No,Unf,,Unf,,,,GasA,TA,Y,SBrkr,861,0,0,,,1,0,2,1,TA,5,Typ,0,none,Detchd,1920.0,Unf,,,TA,TA,N,0,0,128,0,0,0,none,none,0,11,2009,Oth,Normal
535105100,1394,159000,20,RL,,9500,Pave,none,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1963,1963,Gable,CompShg,Plywood,Plywood,BrkFace,,TA,TA,CBlock,Gd,TA,No,BLQ,,Unf,,,,GasA,Gd,Y,SBrkr,1394,0,0,,,1,1,3,1,TA,6,Typ,2,Gd,Attchd,1963.0,RFn,,,TA,TA,Y,0,76,0,0,185,0,none,none,0,7,2009,WD ,Normal
907405020,1536,214000,20,RL,,9135,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2002,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,,Gd,TA,PConc,Gd,TA,Av,GLQ,,Unf,,,,GasA,Ex,Y,SBrkr,1536,0,0,,,2,0,3,1,Gd,7,Typ,0,none,Attchd,2002.0,RFn,,,TA,TA,Y,192,74,0,0,0,0,none,none,0,12,2008,WD ,Normal
531382110,1680,163000,60,RL,,8480,Pave,none,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,6,5,1993,1994,Gable,CompShg,HdBoard,HdBoard,BrkFace,,Gd,TA,PConc,Gd,TA,No,GLQ,,Unf,,,,GasA,Ex,Y,SBrkr,886,794,0,,,2,1,3,1,Gd,7,Typ,0,none,Attchd,1993.0,RFn,,,TA,TA,Y,144,96,0,0,0,0,none,none,0,10,2008,WD ,Normal
906380120,1274,203000,20,RL,,8814,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,,Gd,TA,PConc,Gd,TA,No,GLQ,,Unf,,,,GasA,Ex,Y,SBrkr,1274,0,0,,,2,0,3,1,Gd,6,Typ,0,none,Attchd,2005.0,RFn,,,TA,TA,Y,264,98,0,0,0,0,none,none,0,1,2007,New,Partial
909101060,864,67000,30,RL,,8248,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,3,3,1914,1950,Gable,CompShg,Stucco,Stucco,None,,TA,TA,BrkTil,TA,TA,No,BLQ,,Unf,,,,GasA,TA,N,FuseF,864,0,0,,,1,0,2,1,TA,5,Typ,0,none,none,0.0,none,,,none,none,N,0,0,100,0,0,0,none,none,0,9,2008,WD ,Normal
534152050,1610,205000,20,RL,,10603,Pave,none,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,7,1977,2001,Gable,CompShg,Plywood,Plywood,BrkFace,,TA,TA,PConc,TA,TA,Mn,ALQ,,Unf,,,,GasA,Gd,Y,SBrkr,1610,0,0,,,2,0,3,1,Gd,6,Typ,2,TA,Attchd,1977.0,RFn,,,TA,TA,Y,168,68,0,0,0,0,none,none,0,2,2010,WD ,Normal
923252075,1091,131250,80,RL,,7706,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,SLvl,6,5,1993,1996,Gable,CompShg,HdBoard,HdBoard,None,,TA,Gd,CBlock,Gd,TA,Av,Rec,,GLQ,,,,GasA,Ex,Y,SBrkr,1091,0,0,,,1,0,2,1,TA,5,Typ,0,none,Attchd,1993.0,Fin,,,TA,TA,Y,280,0,0,0,0,0,none,none,700,8,2009,WD ,Normal
531376060,1486,181000,20,RL,,7441,Pave,none,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,,Gd,TA,PConc,Gd,TA,No,Unf,,Unf,,,,GasA,Ex,Y,SBrkr,1486,0,0,,,2,0,3,1,Gd,7,Typ,0,none,Attchd,2006.0,RFn,,,TA,TA,Y,0,32,0,0,0,0,none,none,0,6,2007,WD ,Normal
